database,inat.id,date,latitude,longitude,morph.class
iNaturalist,150148,11/19/2012,40.786396,-73.984309,gray
iNaturalist,150218,11/2/2008,26.6668273,-80.1680517,gray
iNaturalist,151484,11/22/2012,37.5314206,-77.4605548,gray
iNaturalist,152958,11/25/2012,37.5502936,-77.5216341,gray
iNaturalist,155867,2/3/2007,45.49952848,-89.54982064,gray
iNaturalist,156489,12/3/2012,42.387938,-71.145314,gray
iNaturalist,158242,12/5/2012,39.8841661,-76.7322092,gray
iNaturalist,158504,12/6/2012,41.020382,-81.3621418,melanic
iNaturalist,158739,9/16/2012,36.9759345,-82.5757108,gray
iNaturalist,160730,12/7/2012,41.15063851,-81.5060699,melanic
iNaturalist,161334,12/7/2012,42.38764879,-71.12420082,gray
iNaturalist,162063,4/9/2009,29.9989491,-90.2119589,gray
iNaturalist,162593,12/15/2012,38.55703031,-121.4539063,gray
iNaturalist,162718,12/14/2012,41.12685016,-81.54677474,gray
iNaturalist,162896,12/15/2012,37.07589189,-121.9590886,gray
iNaturalist,163591,12/11/2012,27.96181118,-81.4974131,gray
iNaturalist,165146,8/12/2005,38.8703702,-77.1993023,gray
iNaturalist,165275,10/17/2008,38.757647,-77.300645,gray
iNaturalist,165293,10/17/2008,38.7589,-77.0959,melanic
iNaturalist,165434,10/17/2008,38.7979786,-77.2270203,gray
iNaturalist,166308,12/22/2012,26.9735544,-81.8910597,gray
iNaturalist,167418,12/26/2012,26.97194831,-82.09622153,gray
iNaturalist,168053,12/5/2012,30.7741113,-85.5396044,gray
iNaturalist,169227,12/28/2012,41.1298367,-81.4306454,melanic
iNaturalist,171762,1/2/2013,37.54486655,-77.51072288,gray
iNaturalist,172001,12/23/2012,41.1409805,-81.575826,gray
iNaturalist,173625,1/6/2013,44.08400921,-73.1017828,gray
iNaturalist,176436,3/19/2010,43.133041,-72.526069,melanic
iNaturalist,176718,1/3/2013,43.82200252,-79.18608829,melanic
iNaturalist,178704,1/12/2013,36.87357865,-80.29842854,gray
iNaturalist,179193,1/23/2011,44.49685736,-73.20706487,gray
iNaturalist,180335,1/10/2013,44.48016667,-73.20983333,gray
iNaturalist,180937,1/13/2013,42.959163,-71.016326,gray
iNaturalist,180938,1/13/2013,42.935556,-70.998445,gray
iNaturalist,186539,1/24/2013,28.38132753,-81.18819438,gray
iNaturalist,190097,2/1/2013,37.372015,-122.092266,gray
iNaturalist,191476,2/4/2013,44.1039533,-72.1217587,gray
iNaturalist,195752,2/9/2013,38.63964377,-77.15676394,gray
iNaturalist,198966,2/15/2013,43.62911744,-72.93926239,gray
iNaturalist,199571,6/16/2010,43.8487092,-73.4022676,gray
iNaturalist,199739,2/15/2013,38.9086028,-76.46208595,gray
iNaturalist,200218,2/17/2013,43.85328794,-72.58914278,gray
iNaturalist,200856,2/18/2013,43.62433333,-72.50483333,gray
iNaturalist,200940,2/18/2013,44.01694955,-73.178038,gray
iNaturalist,201575,4/2/2012,41.63672055,-88.6540658,gray
iNaturalist,202146,2/14/2013,41.13898481,-81.57433391,gray
iNaturalist,203563,2/22/2013,38.89499095,-76.96765943,gray
iNaturalist,203818,2/22/2013,37.7731532,-122.4616593,gray
iNaturalist,204956,3/22/2008,40.70733318,-74.01817322,gray
iNaturalist,205583,2/17/2013,37.24793532,-121.8730259,gray
iNaturalist,207155,2/27/2013,44.42734968,-73.19469259,gray
iNaturalist,207203,2/26/2013,37.8854051,-122.2630846,gray
iNaturalist,208728,3/3/2013,41.1350009,-81.567869,gray
iNaturalist,208787,3/3/2013,38.557377,-121.454308,gray
iNaturalist,209515,12/27/2012,45.587491,-73.538389,gray
iNaturalist,209516,12/26/2012,45.587491,-73.538389,gray
iNaturalist,210484,3/2/2013,38.74214898,-75.08224986,gray
iNaturalist,210794,3/1/2013,38.95316241,-75.93402105,gray
iNaturalist,215412,3/9/2013,40.87313977,-73.87297869,melanic
iNaturalist,217410,3/9/2013,39.0673471,-77.32958794,gray
iNaturalist,219209,3/19/2013,37.76783333,-122.47,gray
iNaturalist,221524,3/22/2013,38.74787942,-77.11197203,gray
iNaturalist,222256,3/24/2013,38.77587463,-77.05069379,gray
iNaturalist,222404,3/24/2013,41.478348,-81.83242545,melanic
iNaturalist,222797,3/25/2013,37.372015,-122.092266,gray
iNaturalist,223527,3/23/2013,42.307293,-71.119601,gray
iNaturalist,223664,3/26/2013,31.1935,-93.2466,gray
iNaturalist,224705,3/28/2013,41.137769,-81.57438441,gray
iNaturalist,230635,4/6/2013,35.7538528,-78.70816008,gray
iNaturalist,232226,4/8/2013,39.05451784,-77.03269959,gray
iNaturalist,232715,4/8/2013,41.0908104,-81.6904716,melanic
iNaturalist,232907,4/7/2013,47.7308306,-122.111974,gray
iNaturalist,234101,4/10/2013,44.37849622,-73.16321611,gray
iNaturalist,235292,2/2/2013,39.27258962,-76.09075546,gray
iNaturalist,236359,4/14/2013,36.98471956,-122.011912,gray
iNaturalist,237219,4/15/2013,41.11111019,-81.43148791,melanic
iNaturalist,239192,4/17/2013,41.04564232,-81.80401039,gray
iNaturalist,241278,3/10/2013,36.9868,-82.5785,gray
iNaturalist,243079,4/22/2013,27.68233333,-82.42066667,gray
iNaturalist,243102,8/2/2011,49.30363576,-123.1416321,melanic
iNaturalist,243124,4/21/2013,43.23550926,-79.83465361,melanic
iNaturalist,244180,3/20/2011,43.72116667,-79.47683333,melanic
iNaturalist,244541,4/24/2013,37.76851096,-122.4651458,gray
iNaturalist,245429,4/25/2013,31.10366667,-81.412,gray
iNaturalist,246302,3/11/2013,43.607219,-73.092861,gray
iNaturalist,249415,4/27/2013,37.533333,-122.283,gray
iNaturalist,251554,4/26/2013,38.397015,-76.430085,gray
iNaturalist,253535,5/3/2013,30.640033,-87.892425,gray
iNaturalist,254085,2/1/2013,37.465885,-122.283325,gray
iNaturalist,259053,4/30/2013,49.296838,-123.135899,melanic
iNaturalist,259363,5/8/2013,34.488426,-79.194941,gray
iNaturalist,259768,10/15/2011,37.745183,-122.431147,gray
iNaturalist,260814,7/11/2011,40.703815,-74.017269,gray
iNaturalist,260860,7/12/2011,40.792878,-73.953725,gray
iNaturalist,266436,5/13/2013,41.806413,-72.254849,gray
iNaturalist,269194,7/16/2011,40.702148,-74.016263,gray
iNaturalist,269560,5/15/2013,37.72281,-122.421109,gray
iNaturalist,270467,5/16/2013,41.81126,-72.253277,gray
iNaturalist,270476,5/17/2013,41.811216,-72.253078,gray
iNaturalist,274178,5/20/2013,41.805714,-72.253695,gray
iNaturalist,277876,7/18/2011,40.703783,-74.016926,gray
iNaturalist,280407,8/9/2010,37.967374,-91.708081,gray
iNaturalist,287243,5/12/2013,40.616764,-73.825164,gray
iNaturalist,289963,6/2/2013,41.561848,-81.435868,gray
iNaturalist,291484,6/2/2013,38.836237,-79.3655,gray
iNaturalist,291856,6/1/2013,38.907323,-79.268721,gray
iNaturalist,291950,6/2/2013,38.858113,-79.279341,gray
iNaturalist,293671,6/9/2013,41.07716667,-81.52316667,gray
iNaturalist,294219,6/9/2013,47.645481,-122.299359,gray
iNaturalist,296848,6/8/2013,47.672462,-122.308037,gray
iNaturalist,299637,6/14/2013,37.346736,-122.257708,gray
iNaturalist,301054,6/15/2013,42.38882833,-71.15107833,gray
iNaturalist,304863,6/11/2013,30.600916,-87.01232,gray
iNaturalist,304971,6/19/2013,42.38740833,-71.14921333,gray
iNaturalist,308599,6/22/2013,47.67513145,-117.3598868,gray
iNaturalist,311517,6/22/2013,39.472015,-74.452114,gray
iNaturalist,316487,6/26/2013,41.810134,-72.251557,gray
iNaturalist,320041,7/3/2013,37.372015,-122.092266,gray
iNaturalist,320546,6/17/2013,39.026162,-77.496882,gray
iNaturalist,320878,7/4/2013,35.205018,-85.920865,gray
iNaturalist,321540,7/4/2013,35.206916,-85.925789,gray
iNaturalist,326531,12/28/2008,35.92856,-78.966247,gray
iNaturalist,333673,7/14/2013,41.142654,-81.60762,gray
iNaturalist,335750,7/17/2013,37.372015,-122.092266,gray
iNaturalist,336015,4/9/2011,29.998748,-84.48777,other
iNaturalist,337625,7/18/2013,37.372015,-122.092266,gray
iNaturalist,338771,7/19/2013,43.629055,-72.93952,gray
iNaturalist,340076,7/20/2013,37.52415,-77.473311,gray
iNaturalist,341107,7/21/2013,32.83804,-93.915085,gray
iNaturalist,342951,7/23/2013,32.507084,-94.758968,gray
iNaturalist,343342,7/23/2013,37.768041,-122.469814,gray
iNaturalist,343422,7/23/2013,37.76800338,-122.4700921,gray
iNaturalist,343841,7/22/2013,48.75352,-122.425683,gray
iNaturalist,344366,7/22/2013,41.54277,-90.622856,melanic
iNaturalist,346617,7/25/2013,38.909502,-77.02961,gray
iNaturalist,350470,7/28/2013,37.372015,-122.092266,gray
iNaturalist,350911,7/29/2013,37.371232,-122.084638,gray
iNaturalist,352352,7/30/2013,37.372015,-122.092266,gray
iNaturalist,355766,7/26/2013,38.88809204,-76.79644775,gray
iNaturalist,358514,8/6/2013,42.38797,-71.14801333,gray
iNaturalist,361262,8/7/2013,28.862624,-81.309495,gray
iNaturalist,362111,8/10/2013,39.655372,-84.224291,gray
iNaturalist,363253,8/10/2013,40.836903,-73.88038,gray
iNaturalist,364204,5/31/2013,47.669137,-122.353985,gray
iNaturalist,364999,4/18/2008,28.71656,-81.459377,gray
iNaturalist,365197,8/13/2013,49.243372,-122.942955,melanic
iNaturalist,366912,8/16/2013,42.38733667,-71.14636167,gray
iNaturalist,371471,8/20/2013,40.5858036,-79.88131025,gray
iNaturalist,371769,8/15/2013,39.05801773,-77.03459167,melanic
iNaturalist,372001,8/14/2013,38.584743,-90.331365,gray
iNaturalist,372038,8/21/2013,42.403055,-71.18828833,gray
iNaturalist,376842,8/15/2013,38.764986,-89.693163,gray
iNaturalist,378135,3/1/2013,35.72251,-79.018221,gray
iNaturalist,380449,8/17/2013,42.052097,-80.180648,gray
iNaturalist,386112,9/2/2013,44.456073,-73.226629,gray
iNaturalist,386949,9/3/2013,42.38784167,-71.14809667,gray
iNaturalist,387879,8/29/2013,38.886488,-77.020598,gray
iNaturalist,388342,9/4/2013,37.519031,-122.326022,gray
iNaturalist,389955,9/6/2013,38.833122,-77.070023,gray
